t,signal_state,EW_approaching,NS_approaching
38.9,NS_GREEN,0,0
39.0,NS_GREEN,0,0
39.1,NS_GREEN,0,0
39.2,NS_GREEN,0,0
39.3,NS_GREEN,0,0
39.4,NS_GREEN,0,0
39.5,NS_GREEN,0,0
39.6,NS_GREEN,0,0
39.7,NS_GREEN,0,0
39.8,NS_GREEN,0,0
39.9,NS_GREEN,0,0
40.0,NS_GREEN,0,0
40.1,NS_GREEN,0,0
40.2,NS_GREEN,0,0
40.3,NS_GREEN,0,0
40.4,NS_GREEN,0,0
40.5,NS_GREEN,0,0
40.6,NS_GREEN,0,0
40.7,NS_GREEN,0,0
40.8,NS_GREEN,0,0
40.9,NS_GREEN,0,0
41.0,NS_GREEN,0,0
41.1,NS_GREEN,0,0
41.2,NS_GREEN,0,0
41.3,NS_GREEN,0,0
41.4,NS_GREEN,0,0
41.5,NS_GREEN,0,0
41.6,NS_GREEN,0,0
41.7,NS_GREEN,0,0
41.8,NS_GREEN,0,0
41.9,NS_GREEN,0,0
42.0,NS_GREEN,0,0
42.1,NS_GREEN,0,0
42.2,NS_GREEN,0,0
42.3,NS_GREEN,0,0
42.4,NS_GREEN,0,0
42.5,NS_GREEN,0,0
42.6,NS_GREEN,0,0
42.7,NS_GREEN,0,0
42.8,NS_GREEN,0,0
42.9,NS_GREEN,0,0
43.0,NS_GREEN,0,0
43.1,NS_GREEN,0,0
43.2,NS_GREEN,0,0
43.3,NS_GREEN,0,0
43.4,NS_GREEN,0,0
43.5,NS_GREEN,0,0
43.6,NS_GREEN,0,0
43.7,NS_GREEN,0,0
43.8,NS_GREEN,0,0
43.9,NS_GREEN,0,0
44.0,NS_GREEN,0,0
44.1,NS_GREEN,0,0
44.2,NS_GREEN,0,0
44.3,NS_GREEN,0,0
44.4,NS_GREEN,0,0
44.5,NS_GREEN,0,0
44.6,NS_GREEN,0,0
44.7,NS_GREEN,0,0
44.8,NS_GREEN,0,0
44.9,NS_GREEN,0,0
45.0,NS_GREEN,0,0
45.1,NS_GREEN,0,0
45.2,NS_GREEN,0,0
45.3,NS_GREEN,0,0
45.4,NS_GREEN,0,0
45.5,NS_GREEN,0,0
45.6,NS_GREEN,0,0
45.7,NS_GREEN,0,0
45.8,NS_GREEN,0,0
45.9,NS_GREEN,0,0
46.0,NS_GREEN,0,0
46.1,NS_GREEN,0,0
46.2,NS_GREEN,0,0
46.3,NS_GREEN,0,0
46.4,NS_GREEN,0,0
46.5,NS_GREEN,0,0
46.6,NS_GREEN,0,0
46.7,NS_GREEN,0,0
46.8,NS_GREEN,0,0
46.9,NS_GREEN,0,0
47.0,NS_GREEN,0,0
47.1,NS_GREEN,0,0
47.2,NS_GREEN,0,0
47.3,NS_GREEN,0,0
47.4,NS_GREEN,0,0
47.5,NS_GREEN,0,0
47.6,NS_GREEN,0,0
47.7,NS_GREEN,0,0
47.8,NS_GREEN,0,0
47.9,NS_GREEN,0,0
48.0,NS_GREEN,0,0
48.1,NS_GREEN,0,0
48.2,NS_GREEN,0,0
48.3,NS_GREEN,0,0
48.4,NS_GREEN,0,0
48.5,NS_GREEN,0,0
48.6,NS_GREEN,0,0
48.7,NS_GREEN,0,0
48.8,NS_GREEN,0,0
48.9,NS_GREEN,0,0
49.0,NS_GREEN,0,0
49.1,NS_GREEN,0,0
49.2,NS_GREEN,0,0
49.3,NS_GREEN,0,0
49.4,NS_YELLOW,0,0
49.5,NS_YELLOW,0,0
49.6,NS_YELLOW,0,0
49.7,NS_YELLOW,0,0
49.8,NS_YELLOW,0,0
49.9,NS_YELLOW,0,0
50.0,NS_YELLOW,0,0
50.1,NS_YELLOW,0,0
50.2,NS_YELLOW,0,0
50.3,NS_YELLOW,0,0
50.4,NS_YELLOW,0,0
50.5,NS_YELLOW,0,0
50.6,NS_YELLOW,0,0
50.7,NS_YELLOW,0,0
50.8,NS_YELLOW,0,0
50.9,NS_YELLOW,0,0
51.0,NS_YELLOW,0,0
51.1,NS_YELLOW,0,0
51.2,NS_YELLOW,0,0
51.3,NS_YELLOW,0,0
51.4,NS_YELLOW,0,0
51.5,NS_YELLOW,0,0
51.6,NS_YELLOW,0,0
51.7,NS_YELLOW,0,0
